Timestamp,FromAccount,ToAccount,Amount Received,Receiving Currency,Amount Paid,Payment Currency,suspected_money_laundering_involvement
01-09-2022 0.20,8000EBD30,8000EBD30,3697.34,US Dollar,3697.34,US Dollar,
01-09-2022 0.20,8000F4580,8000F5340,0.01,US Dollar,0.01,US Dollar,
01-09-2022 0.00,8000F4670,8000F4670,14675.57,US Dollar,14675.57,US Dollar,
01-09-2022 0.02,8000F5030,8000F5030,2806.97,US Dollar,2806.97,US Dollar,
01-09-2022 0.06,8000F5200,8000F5200,36682.97,US Dollar,36682.97,US Dollar,
01-09-2022 0.03,8000F5AD0,8000F5AD0,6162.44,US Dollar,6162.44,US Dollar,
01-09-2022 0.08,8000EBAC0,8000EBAC0,14.26,US Dollar,14.26,US Dollar,
01-09-2022 0.16,8000EC1E0,8000EC1E0,11.86,US Dollar,11.86,US Dollar,
01-09-2022 0.26,8000EC280,8017BF800,7.66,US Dollar,7.66,US Dollar,
01-09-2022 0.21,8000EDEC0,80AEF5310,383.71,US Dollar,383.71,US Dollar,
01-09-2022 0.04,8000F4510,8011305D0,9.82,US Dollar,9.82,US Dollar,
01-09-2022 0.04,8000F47F0,8000F47F0,9.38,US Dollar,9.38,US Dollar,
01-09-2022 0.08,8000F4FE0,812ED62E0,4.01,US Dollar,4.01,US Dollar,
01-09-2022 0.17,80012FD90,812ED6380,106.7,US Dollar,106.7,US Dollar,
01-09-2022 0.11,80012FE00,805B34210,0.54,US Dollar,0.54,US Dollar,
01-09-2022 0.09,80012FE50,80012FE50,3944232.29,US Dollar,3944232.29,US Dollar,
01-09-2022 0.11,80012FEA0,80012FEA0,10020.68,US Dollar,10020.68,US Dollar,
01-09-2022 0.00,8005DFEB0,8005DFEB0,897.37,US Dollar,897.37,US Dollar,
01-09-2022 0.28,8005E18F0,8005E18F0,157.57,US Dollar,157.57,US Dollar,
01-09-2022 0.22,8005E24C0,8005E24C0,52.75,US Dollar,52.75,US Dollar,
01-09-2022 0.28,8005F2D30,8005F2D30,8163.85,US Dollar,8163.85,US Dollar,
01-09-2022 0.12,800131480,800131480,5.74,US Dollar,5.74,US Dollar,
01-09-2022 0.20,800131B10,8131A9A80,46.86,US Dollar,46.86,US Dollar,
01-09-2022 0.02,8005E18F0,8005E18F0,9.89,US Dollar,9.89,US Dollar,
01-09-2022 0.21,8005F0B50,810B0FB40,86.3,US Dollar,86.3,US Dollar,
01-09-2022 0.16,8005FB700,813600910,3.16,US Dollar,3.16,US Dollar,
01-09-2022 0.25,8005FD390,8005FD390,780457.62,US Dollar,780457.62,US Dollar,
01-09-2022 0.09,8005FD430,8005FD430,748.62,US Dollar,748.62,US Dollar,
01-09-2022 0.11,800A5F020,8006A3840,1210984,US Dollar,1210984,US Dollar,
01-09-2022 0.29,8005FD390,8006A3890,38386097,US Dollar,38386097,US Dollar,
01-09-2022 0.12,8006AF500,8006AF500,956.43,US Dollar,956.43,US Dollar,
01-09-2022 0.25,8006AF550,8006AF550,43.44,US Dollar,43.44,US Dollar,
01-09-2022 0.26,800058100,8005FD430,159271,US Dollar,159271,US Dollar,
01-09-2022 0.14,8006A3840,80C132DC0,3.62,US Dollar,3.62,US Dollar,
01-09-2022 0.09,8006A3890,80A3C7390,192.83,US Dollar,192.83,US Dollar,
