Timestamp,FromAccount,ToAccount,Amount Received,Receiving Currency,Amount Paid,Payment Currency,suspected_money_laundering_involvement
10-09-2022 0.04,8000EC280,8017BF800,120.4,US Dollar,120.4,US Dollar,
10-09-2022 0.27,8000EDEC0,801130530,9.54,US Dollar,9.54,US Dollar,
10-09-2022 0.10,8000F4510,8017BF990,598.29,US Dollar,598.29,US Dollar,
10-09-2022 0.02,8000F4FE0,80AEF5310,8.94,US Dollar,8.94,US Dollar,
10-09-2022 0.11,80012FD90,8021F1570,116.81,US Dollar,116.81,US Dollar,
10-09-2022 0.29,80012FE00,80D1B98E0,0.24,US Dollar,0.24,US Dollar,
10-09-2022 0.20,800131B10,8131A9A80,887.93,US Dollar,887.93,US Dollar,
10-09-2022 0.22,8005F0B50,8131A9A80,6.65,US Dollar,6.65,US Dollar,
10-09-2022 0.17,8005FB700,8131A9A80,5.71,US Dollar,5.71,US Dollar,
10-09-2022 0.14,8006A3840,810521380,14.99,US Dollar,14.99,US Dollar,
10-09-2022 0.26,8006A3890,80152DD50,86.66,US Dollar,86.66,US Dollar,
10-09-2022 0.22,800AC9400,814233CC0,1464.14,US Dollar,1464.14,US Dollar,
10-09-2022 0.05,800AC9DD0,8121CF4B0,90.96,US Dollar,90.96,US Dollar,
10-09-2022 0.25,800AC9E20,8121CF4B0,10.87,US Dollar,10.87,US Dollar,
10-09-2022 0.21,801008340,8065002B0,42.08,US Dollar,42.08,US Dollar,
10-09-2022 0.16,801008480,8060458E0,118.93,US Dollar,118.93,US Dollar,
10-09-2022 0.08,801008520,8065002B0,8.06,US Dollar,8.06,US Dollar,
10-09-2022 0.00,80100A2C0,8098EAD30,0.76,US Dollar,0.76,US Dollar,
10-09-2022 0.23,80100D180,8129E88D0,3.13,US Dollar,3.13,US Dollar,
10-09-2022 0.04,80100DB30,80805A880,101.89,US Dollar,101.89,US Dollar,
10-09-2022 0.18,80100DB80,8129E88D0,3.57,US Dollar,3.57,US Dollar,
10-09-2022 0.22,801227620,805DEB4F0,73.53,US Dollar,73.53,US Dollar,
10-09-2022 0.23,80141ED50,80274E0F0,277.49,US Dollar,277.49,US Dollar,
10-09-2022 0.11,8004169F0,802F2FD40,148.43,US Dollar,148.43,US Dollar,
10-09-2022 0.24,800416A40,8132DB5F0,37.76,US Dollar,37.76,US Dollar,
10-09-2022 0.02,80152E780,8018A58B0,121.49,US Dollar,121.49,US Dollar,
10-09-2022 0.04,8016BBF40,80DF7DCE0,5.93,US Dollar,5.93,US Dollar,
10-09-2022 0.25,8016BBF90,80DF7DCE0,7.35,US Dollar,7.35,US Dollar,
10-09-2022 0.09,8016CAB70,8017A8630,128.37,US Dollar,128.37,US Dollar,
10-09-2022 0.26,8018754D0,80B4D41F0,0.38,US Dollar,0.38,US Dollar,
10-09-2022 0.01,801886770,80C033F80,35.73,US Dollar,35.73,US Dollar,
10-09-2022 0.23,8018867C0,802C6CCE0,22.56,US Dollar,22.56,US Dollar,
10-09-2022 0.01,8018A61B0,80D454C50,147.88,US Dollar,147.88,US Dollar,
10-09-2022 0.00,800102DD0,8003BA850,206.53,US Dollar,206.53,US Dollar,
10-09-2022 0.24,800105F00,807760BA0,9.96,US Dollar,9.96,US Dollar,
10-09-2022 0.22,80010F6E0,809930160,56.11,US Dollar,56.11,US Dollar,
10-09-2022 0.15,800109DF0,80C2598A0,22.97,US Dollar,22.97,US Dollar,
10-09-2022 0.17,80005E9C0,800126360,622.25,US Dollar,622.25,US Dollar,
10-09-2022 0.22,80005E9C0,800126360,70.64,US Dollar,70.64,US Dollar,
10-09-2022 0.26,8000F89F0,8106C9960,4.55,US Dollar,4.55,US Dollar,
10-09-2022 0.22,800102DD0,80012A760,48.28,US Dollar,48.28,US Dollar,
10-09-2022 0.01,800115CA0,80012AB70,450.34,US Dollar,450.34,US Dollar,
10-09-2022 0.26,800115CA0,80012AB70,1658.21,US Dollar,1658.21,US Dollar,
10-09-2022 0.19,80014F510,808A1DF10,32.7,US Dollar,32.7,US Dollar,
10-09-2022 0.05,800156930,801A5EFB0,16.31,US Dollar,16.31,US Dollar,
10-09-2022 0.27,800145AC0,80AF730C0,0.39,US Dollar,0.39,US Dollar,
