Bank_Account,Bank,Account,Receiving_Currency,Payment_Currency,ML_Prediction
1_8000EBAC0,1,8000EBAC0,US Dollar,US Dollar,
1_8000EC1E0,1,8000EC1E0,US Dollar,US Dollar,
1_8000EDEC0,1,8000EDEC0,,US Dollar,
1_8000F4510,1,8000F4510,,US Dollar,
1_8000F47F0,1,8000F47F0,US Dollar,US Dollar,
1_8000F4FE0,1,8000F4FE0,,US Dollar,
1_8000F5340,1,8000F5340,US Dollar,,
1_8000F5AD0,1,8000F5AD0,US Dollar,US Dollar,
1_80012FE50,1,80012FE50,US Dollar,US Dollar,
10_8000EBD30,10,8000EBD30,US Dollar,US Dollar,
10_8000F5200,10,8000F5200,US Dollar,US Dollar,
10_80012FD90,10,80012FD90,,US Dollar,
10_80012FEA0,10,80012FEA0,US Dollar,US Dollar,
12_8000EC280,12,8000EC280,,US Dollar,
12_8000F5030,12,8000F5030,US Dollar,US Dollar,
12_80012FE00,12,80012FE00,,US Dollar,
1420_8005DFEB0,1420,8005DFEB0,US Dollar,US Dollar,
1665_8005E18F0,1665,8005E18F0,US Dollar,US Dollar,
1665_8005E24C0,1665,8005E24C0,US Dollar,US Dollar,
2439_8017BF800,2439,8017BF800,US Dollar,,
3208_8000F4580,3208,8000F4580,,US Dollar,
3209_8000F4670,3209,8000F4670,US Dollar,US Dollar,
11813_8011305D0,11813,8011305D0,US Dollar,,
13037_805B34210,13037,805B34210,US Dollar,,
36056_812ED6380,36056,812ED6380,US Dollar,,
211050_80AEF5310,211050,80AEF5310,US Dollar,,
245335_812ED62E0,245335,812ED62E0,US Dollar,,
