Timestamp,From_Bank_Account,To_Bank_Account,From_Account,To_Account,Amount_Received,Receiving_Currency,Amount_Paid,Payment_Currency,Payment_Format
2022/09/01 00:20,10_8000EBD30,10_8000EBD30,8000EBD30,8000EBD30,3697.34,US Dollar,3697.34,US Dollar,Reinvestment
2022/09/01 00:20,3208_8000F4580,1_8000F5340,8000F4580,8000F5340,0.01,US Dollar,0.01,US Dollar,Cheque
2022/09/01 00:00,3209_8000F4670,3209_8000F4670,8000F4670,8000F4670,14675.57,US Dollar,14675.57,US Dollar,Reinvestment
2022/09/01 00:02,12_8000F5030,12_8000F5030,8000F5030,8000F5030,2806.97,US Dollar,2806.97,US Dollar,Reinvestment
2022/09/01 00:06,10_8000F5200,10_8000F5200,8000F5200,8000F5200,36682.97,US Dollar,36682.97,US Dollar,Reinvestment
2022/09/01 00:03,1_8000F5AD0,1_8000F5AD0,8000F5AD0,8000F5AD0,6162.44,US Dollar,6162.44,US Dollar,Reinvestment
2022/09/01 00:08,1_8000EBAC0,1_8000EBAC0,8000EBAC0,8000EBAC0,14.26,US Dollar,14.26,US Dollar,Reinvestment
2022/09/01 00:16,1_8000EC1E0,1_8000EC1E0,8000EC1E0,8000EC1E0,11.86,US Dollar,11.86,US Dollar,Reinvestment
2022/09/01 00:26,12_8000EC280,2439_8017BF800,8000EC280,8017BF800,7.66,US Dollar,7.66,US Dollar,Credit Card
2022/09/01 00:21,1_8000EDEC0,211050_80AEF5310,8000EDEC0,80AEF5310,383.71,US Dollar,383.71,US Dollar,Credit Card
2022/09/01 00:04,1_8000F4510,11813_8011305D0,8000F4510,8011305D0,9.82,US Dollar,9.82,US Dollar,Credit Card
2022/09/01 00:04,1_8000F47F0,1_8000F47F0,8000F47F0,8000F47F0,9.38,US Dollar,9.38,US Dollar,Reinvestment
2022/09/01 00:08,1_8000F4FE0,245335_812ED62E0,8000F4FE0,812ED62E0,4.01,US Dollar,4.01,US Dollar,Credit Card
2022/09/01 00:17,10_80012FD90,36056_812ED6380,80012FD90,812ED6380,106.7,US Dollar,106.7,US Dollar,Credit Card
2022/09/01 00:11,12_80012FE00,13037_805B34210,80012FE00,805B34210,0.54,US Dollar,0.54,US Dollar,Credit Card
2022/09/01 00:09,1_80012FE50,1_80012FE50,80012FE50,80012FE50,3944232.29,US Dollar,3944232.29,US Dollar,Reinvestment
2022/09/01 00:11,10_80012FEA0,10_80012FEA0,80012FEA0,80012FEA0,10020.68,US Dollar,10020.68,US Dollar,Reinvestment
2022/09/01 00:00,1420_8005DFEB0,1420_8005DFEB0,8005DFEB0,8005DFEB0,897.37,US Dollar,897.37,US Dollar,Reinvestment
2022/09/01 00:28,1665_8005E18F0,1665_8005E18F0,8005E18F0,8005E18F0,157.57,US Dollar,157.57,US Dollar,Reinvestment
2022/09/01 00:22,1665_8005E24C0,1665_8005E24C0,8005E24C0,8005E24C0,52.75,US Dollar,52.75,US Dollar,Reinvestment
